ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-08-01,4.999998,4.999998,4.999998,4.999998,4.999998,0.0,0.0,0.0,0.0,0.0,0.0,4.999998
2025-08-02,6.000000033,6.000000033,6.000000033,6.000000033,6.000000033,0.0,0.0,0.0,0.0,0.0,0.0,6.000000033
2025-08-03,7.0000020659999995,7.000002015686042,7.000002110273862,7.000002015686042,7.000002110273862,0.0,0.0,0.0,0.0,0.0,0.0,7.0000020659999995
2025-08-04,8.000004098999998,8.00000394569449,8.000004242354736,8.00000394569449,8.000004242354736,0.0,0.0,0.0,0.0,0.0,0.0,8.000004098999998
2025-08-05,9.000006132,9.000005832206094,9.000006411815827,9.000005832206094,9.000006411815827,0.0,0.0,0.0,0.0,0.0,0.0,9.000006132
2025-08-06,10.000008165,10.000007688217389,10.00000862448752,10.000007688217389,10.00000862448752,0.0,0.0,0.0,0.0,0.0,0.0,10.000008165
2025-08-07,11.000010198,11.000009527802934,11.000010853165247,11.000009527802934,11.000010853165247,0.0,0.0,0.0,0.0,0.0,0.0,11.000010198
2025-08-08,12.000012231,12.000011333659486,12.000013071920458,12.000011333659486,12.000013071920458,0.0,0.0,0.0,0.0,0.0,0.0,12.000012231
2025-08-09,13.000014263999999,13.000013122292764,13.000015290947635,13.000013122292764,13.000015290947635,0.0,0.0,0.0,0.0,0.0,0.0,13.000014263999999
